outputdir;typeDISC;typeCONN;nhits
Lt96Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;96
Lt96Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;96
Lt80Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;80
Lt80Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;90
Lt48Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;48
Lt48Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;48
Lt64Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;64
Lt64Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;64
Lt64Ls20beta6.5mf0.70mas1.01AS;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;48
Lt64Ls20beta6.5mf0.70mas1.01FUN;DISCON_SEMWALL SINGLET;DEFAULT_SEMWALL TRIPLET;48
